B0:,R6
B1:,R48
B10:,R63
B11:,R25
B12:,R2
B13:,R35
B14:,R7
B15:,R33
B16:,R98
B17:,R39
B18:,R52
B19:,R93
B2:,R74
B20:,R43
B21:,R82
B22:,R96
B23:,R90
B24:,R78
B25:,R27
B26:,R14
B27:,R34
B28:,R37
B29:,R46
B3:,R95
B30:,R15
B31:,R81
B32:,R13
B33:,R29
B34:,R99
B35:,R30
B36:,R8
B37:,R64
B38:,R18
B39:,R76
B4:,R89
B40:,R60
B41:,R84
B42:,R62
B43:,R44
B44:,R83
B45:,R77
B46:,R65
B47:,R4
B48:,R79
B49:,R40
B5:,R58
B50:,R97
B51:,R28
B52:,R59
B53:,R88
B54:,R66
B55:,R24
B56:,R42
B57:,R49
B58:,R87
B59:,R3
B6:,R61
B60:,R11
B61:,R91
B62:,R55
B63:,R86
B64:,R26
B65:,R56
B66:,R9
B67:,R85
B68:,R32
B69:,R31
B7:,R50
B70:,R19
B71:,R10
B72:,R73
B73:,R67
B74:,R54
B75:,R53
B76:,R75
B77:,R72
B78:,R17
B79:,R80
B8:,R20
B80:,R22
B81:,R69
B82:,R57
B83:,R0
B84:,R23
B85:,R5
B86:,R36
B87:,R71
B88:,R51
B89:,R47
B9:,R70
B90:,R41
B91:,R45
B92:,R12
B93:,R94
B94:,R21
B95:,R68
B96:,R1
B97:,R16
B98:,R92
B99:,R38
